Model,MSO2024B
Firmware Version,1.56

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,130200
Sample Interval,260.4
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
1.9869e+05,-56.075
1.9895e+05,-55.0531
1.9921e+05,-56.5594
1.9947e+05,-58.0625
1.9973e+05,-57.5781
1.9999e+05,-57.0938
2.0025e+05,-57.0938
2.0051e+05,-57.0938
2.0077e+05,-59.0844
2.0103e+05,-61.0719
2.0129e+05,-59.0844
2.0155e+05,-57.0938
2.0181e+05,-59.0844
2.0207e+05,-61.0719
2.0233e+05,-61.0719
2.0259e+05,-61.0719
2.0285e+05,-59.0844
2.0311e+05,-57.0938
2.0337e+05,-56.075
2.0363e+05,-55.0531
2.0389e+05,-58.0625
2.0415e+05,-61.0719
2.0441e+05,-61.0719
2.0467e+05,-61.0719
2.0493e+05,-61.0719
2.0520e+05,-61.0719
2.0546e+05,-61.0719
2.0572e+05,-61.0719
2.0598e+05,-61.0719
2.0624e+05,-61.0719
2.0650e+05,-59.0844
2.0676e+05,-57.0938
2.0702e+05,-59.0844
2.0728e+05,-61.0719
2.0754e+05,-61.0719
2.0780e+05,-61.0719
2.0806e+05,-58.0625
2.0832e+05,-55.0531
2.0858e+05,-59.5688
2.0884e+05,-64.0812
2.0910e+05,-60.5875
2.0936e+05,-57.0938
2.0962e+05,-57.0938
2.0988e+05,-57.0938
2.1014e+05,-57.5781
2.1040e+05,-58.0625
2.1066e+05,-59.5688
2.1092e+05,-61.0719
2.1118e+05,-59.0844
2.1144e+05,-57.0938
2.1171e+05,-57.0938
2.1197e+05,-57.0938
2.1223e+05,-56.075
2.1249e+05,-55.0531
2.1275e+05,-58.0625
2.1301e+05,-61.0719
2.1327e+05,-57.5781
2.1353e+05,-54.0812
2.1379e+05,-55.5875
2.1405e+05,-57.0938
2.1431e+05,-57.0938
2.1457e+05,-57.0938
2.1483e+05,-56.075
2.1509e+05,-55.0531
2.1535e+05,-55.0531
2.1561e+05,-55.0531
2.1587e+05,-58.0625
2.1613e+05,-61.0719
2.1639e+05,-62.5781
2.1665e+05,-64.0812
2.1691e+05,-60.5875
2.1717e+05,-57.0938
2.1743e+05,-59.0844
2.1769e+05,-61.0719
2.1795e+05,-59.0844
2.1822e+05,-57.0938
2.1848e+05,-59.0844
2.1874e+05,-61.0719
2.1900e+05,-61.0719
2.1926e+05,-61.0719
2.1952e+05,-59.5688
2.1978e+05,-58.0625
2.2004e+05,-57.5781
2.2030e+05,-57.0938
2.2056e+05,-57.0938
2.2082e+05,-57.0938
2.2108e+05,-57.0938
2.2134e+05,-57.0938
2.2160e+05,-57.0938
2.2186e+05,-57.0938
2.2212e+05,-59.0844
2.2238e+05,-61.0719
2.2264e+05,-62.5781
2.2290e+05,-64.0812
2.2316e+05,-62.5781
2.2342e+05,-61.0719
2.2368e+05,-61.0719
2.2394e+05,-61.0719
2.2420e+05,-59.0844
2.2446e+05,-57.0938
2.2473e+05,-59.0844
2.2499e+05,-61.0719
2.2525e+05,-59.0844
2.2551e+05,-57.0938
2.2577e+05,-59.0844
2.2603e+05,-61.0719
2.2629e+05,-61.0719
2.2655e+05,-61.0719
2.2681e+05,-61.0719
2.2707e+05,-61.0719
2.2733e+05,-59.0844
2.2759e+05,-57.0938
2.2785e+05,-59.0844
2.2811e+05,-61.0719
2.2837e+05,-59.0844
2.2863e+05,-57.0938
2.2889e+05,-60.5875
2.2915e+05,-64.0812
2.2941e+05,-60.5875
2.2967e+05,-57.0938
